filename,brisque_ground_truth,brisque_bicubic,brisque_realesrgan
gnh_038_r2_c2.png,7.022223949432373,59.21929931640625,19.49577522277832
gnh_038_r2_c3.png,7.113683223724365,58.808929443359375,9.835939407348633
gnh_038_r3_c0.png,50.44245529174805,61.27872085571289,65.04347229003906
gnh_038_r3_c1.png,48.55404281616211,60.88694763183594,51.674217224121094
gnh_038_r3_c2.png,32.83388900756836,60.942283630371094,21.21796226501465
gnh_038_r3_c3.png,34.49197769165039,56.4461669921875,18.739887237548828
gnh_045_r0_c0.png,48.72992706298828,86.49873352050781,42.6837272644043
gnh_045_r0_c1.png,49.553524017333984,84.9365463256836,41.11083984375
gnh_045_r0_c2.png,42.411399841308594,86.92159271240234,28.976900100708008
gnh_045_r0_c3.png,74.30925750732422,91.14795684814453,38.560916900634766
gnh_045_r1_c0.png,32.04973602294922,60.55376434326172,18.592758178710938
gnh_045_r1_c1.png,31.620628356933594,60.359806060791016,32.8621826171875
gnh_045_r1_c2.png,30.269542694091797,58.369205474853516,39.253135681152344
gnh_045_r1_c3.png,32.3195915222168,59.6007194519043,31.71186637878418
gnh_045_r2_c0.png,16.561140060424805,59.20309066772461,20.491992950439453
gnh_045_r2_c1.png,25.53972625732422,60.153961181640625,24.516069412231445
gnh_045_r2_c2.png,32.387638092041016,59.87154769897461,32.407955169677734
gnh_045_r2_c3.png,34.70014190673828,58.321685791015625,26.04084014892578
gnh_045_r3_c0.png,29.739355087280273,58.932594299316406,20.076852798461914
gnh_045_r3_c1.png,26.655284881591797,59.52447509765625,14.367026329040527
gnh_045_r3_c2.png,30.643390655517578,56.53025436401367,17.082794189453125
gnh_045_r3_c3.png,42.09783935546875,54.82244110107422,27.441776275634766
nno_047_r0_c0.png,38.88127899169922,87.71805572509766,44.72563552856445
nno_047_r0_c1.png,34.27353286743164,78.58418273925781,25.47312355041504
nno_047_r0_c2.png,34.64352035522461,80.95124816894531,21.253658294677734
nno_047_r0_c3.png,44.2016716003418,80.91355895996094,23.17682647705078
nno_047_r1_c0.png,28.14957618713379,61.09096145629883,19.24540901184082
nno_047_r1_c1.png,28.27410125732422,60.69185256958008,21.001293182373047
nno_047_r1_c2.png,32.29711151123047,59.751953125,21.332902908325195
nno_047_r1_c3.png,36.211273193359375,60.59744644165039,37.68330001831055
nno_047_r2_c0.png,24.02906608581543,62.21341323852539,9.12218952178955
nno_047_r2_c1.png,25.967708587646484,60.66769027709961,4.84487247467041
nno_047_r2_c2.png,25.311241149902344,57.92295837402344,5.2833991050720215
nno_047_r2_c3.png,17.470163345336914,58.67903518676758,7.339846611022949
nno_047_r3_c0.png,50.49275207519531,56.45640182495117,31.13948631286621
nno_047_r3_c1.png,42.1757926940918,54.24546813964844,15.23011589050293
nno_047_r3_c2.png,38.54600524902344,52.46918487548828,6.962258815765381
nno_047_r3_c3.png,33.239952087402344,53.95503616333008,12.984572410583496
